seqName,Accession.ID,Virus.name,Location,Collection.date,location,continent,country,state,host,hasYearOnly,hasMonthOnly,hasFullDate,decDate
EPI_ISL_437348|Human|Democratic Republic of the Congo|hCoV-19/DRC/2827/2020|2020-04-16|2020.290,EPI_ISL_437348,hCoV-19/DRC/2827/2020,Africa / Democratic Republic of the Congo / Kinshasa,16/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.289617
EPI_ISL_437350|Human|Democratic Republic of the Congo|hCoV-19/DRC/2855/2020|2020-04-16|2020.290,EPI_ISL_437350,hCoV-19/DRC/2855/2020,Africa / Democratic Republic of the Congo / Kinshasa,16/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.289617
EPI_ISL_437351|Human|Democratic Republic of the Congo|hCoV-19/DRC/2864/2020|2020-04-16|2020.290,EPI_ISL_437351,hCoV-19/DRC/2864/2020,Africa / Democratic Republic of the Congo / Kinshasa,16/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.289617
EPI_ISL_437352|Human|Democratic Republic of the Congo|hCoV-19/DRC/2904/2020|2020-04-17|2020.292,EPI_ISL_437352,hCoV-19/DRC/2904/2020,Africa / Democratic Republic of the Congo / Kinshasa,17/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.29235
EPI_ISL_437353|Human|Democratic Republic of the Congo|hCoV-19/DRC/2938/2020|2020-04-17|2020.292,EPI_ISL_437353,hCoV-19/DRC/2938/2020,Africa / Democratic Republic of the Congo / Kinshasa,17/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.29235
EPI_ISL_437354|Human|Democratic Republic of the Congo|hCoV-19/DRC/2939/2020|2020-04-17|2020.292,EPI_ISL_437354,hCoV-19/DRC/2939/2020,Africa / Democratic Republic of the Congo / Kinshasa,17/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.29235
EPI_ISL_437355|Human|Democratic Republic of the Congo|hCoV-19/DRC/2942/2020|2020-04-17|2020.292,EPI_ISL_437355,hCoV-19/DRC/2942/2020,Africa / Democratic Republic of the Congo / Kinshasa,17/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.29235
EPI_ISL_437356|Human|Democratic Republic of the Congo|hCoV-19/DRC/3041/2020|2020-04-18|2020.295,EPI_ISL_437356,hCoV-19/DRC/3041/2020,Africa / Democratic Republic of the Congo / Kinshasa,18/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.295082
EPI_ISL_437357|Human|Democratic Republic of the Congo|hCoV-19/DRC/3070/2020|2020-04-18|2020.295,EPI_ISL_437357,hCoV-19/DRC/3070/2020,Africa / Democratic Republic of the Congo / Kinshasa,18/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.295082
EPI_ISL_437358|Human|Democratic Republic of the Congo|hCoV-19/DRC/3089/2020|2020-04-19|2020.298,EPI_ISL_437358,hCoV-19/DRC/3089/2020,Africa / Democratic Republic of the Congo / Kinshasa,19/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.297814
EPI_ISL_447230|Human|Democratic Republic of the Congo|hCoV-19/DRC/3633/2020|2020-04-23|2020.309,EPI_ISL_447230,hCoV-19/DRC/3633/2020,Africa / Democratic Republic of the Congo / Kinshasa,23/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.308743
EPI_ISL_447231|Human|Democratic Republic of the Congo|hCoV-19/DRC/3653/2020|2020-04-23|2020.309,EPI_ISL_447231,hCoV-19/DRC/3653/2020,Africa / Democratic Republic of the Congo / Kinshasa,23/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.308743
EPI_ISL_447232|Human|Democratic Republic of the Congo|hCoV-19/DRC/3659/2020|2020-04-23|2020.309,EPI_ISL_447232,hCoV-19/DRC/3659/2020,Africa / Democratic Republic of the Congo / Kinshasa,23/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.308743
EPI_ISL_447233|Human|Democratic Republic of the Congo|hCoV-19/DRC/3661/2020|2020-04-23|2020.309,EPI_ISL_447233,hCoV-19/DRC/3661/2020,Africa / Democratic Republic of the Congo / Kinshasa,23/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.308743
EPI_ISL_447234|Human|Democratic Republic of the Congo|hCoV-19/DRC/3662/2020|2020-04-23|2020.309,EPI_ISL_447234,hCoV-19/DRC/3662/2020,Africa / Democratic Republic of the Congo / Kinshasa,23/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.308743
EPI_ISL_447235|Human|Democratic Republic of the Congo|hCoV-19/DRC/3664/2020|2020-04-23|2020.309,EPI_ISL_447235,hCoV-19/DRC/3664/2020,Africa / Democratic Republic of the Congo / Kinshasa,23/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.308743
EPI_ISL_447236|Human|Democratic Republic of the Congo|hCoV-19/DRC/3683/2020|2020-04-24|2020.311,EPI_ISL_447236,hCoV-19/DRC/3683/2020,Africa / Democratic Republic of the Congo / Kinshasa,24/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.311475
EPI_ISL_447237|Human|Democratic Republic of the Congo|hCoV-19/DRC/3688/2020|2020-04-24|2020.311,EPI_ISL_447237,hCoV-19/DRC/3688/2020,Africa / Democratic Republic of the Congo / Kinshasa,24/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.311475
EPI_ISL_447238|Human|Democratic Republic of the Congo|hCoV-19/DRC/3764/2020|2020-04-24|2020.311,EPI_ISL_447238,hCoV-19/DRC/3764/2020,Africa / Democratic Republic of the Congo / Kinshasa,24/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.311475
EPI_ISL_447239|Human|Democratic Republic of the Congo|hCoV-19/DRC/3768/2020|2020-04-24|2020.311,EPI_ISL_447239,hCoV-19/DRC/3768/2020,Africa / Democratic Republic of the Congo / Kinshasa,24/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.311475
EPI_ISL_447240|Human|Democratic Republic of the Congo|hCoV-19/DRC/3778/2020|2020-04-24|2020.311,EPI_ISL_447240,hCoV-19/DRC/3778/2020,Africa / Democratic Republic of the Congo / Kinshasa,24/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.311475
EPI_ISL_447241|Human|Democratic Republic of the Congo|hCoV-19/DRC/3787/2020|2020-04-24|2020.311,EPI_ISL_447241,hCoV-19/DRC/3787/2020,Africa / Democratic Republic of the Congo / Kinshasa,24/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.311475
EPI_ISL_447242|Human|Democratic Republic of the Congo|hCoV-19/DRC/3791/2020|2020-04-24|2020.311,EPI_ISL_447242,hCoV-19/DRC/3791/2020,Africa / Democratic Republic of the Congo / Kinshasa,24/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.311475
EPI_ISL_447243|Human|Democratic Republic of the Congo|hCoV-19/DRC/3803/2020|2020-04-24|2020.311,EPI_ISL_447243,hCoV-19/DRC/3803/2020,Africa / Democratic Republic of the Congo / Kinshasa,24/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.311475
